Key;Row0;Row1;Row2;Row3;Row4;Row5;Row6;Row7;Row8;Row9;Row10;Row11;Row12;Row13;Row14;Row15;Row16;Row17;Row18;Row19;Row20;Row21;Row22;Row23;Row24;Row25;Row26;Row27;Row28;Row29;Row30;Row31;Row32;Row33;Row34;Row35;Row36;Row37;Row38;Row39;Row40;Row41;Row42;Row43;Row44;Row45;Row46;Row47;Row48;Row49;Row50;Row809;Row1072;Row5406;Row5872;Row15986;Row16003;Row17095;Row19697;Row20408;Row22591;Row23757;Row23789;Row27711;Row28345;Row33541;Row39842;Row41947;Row43388;Row47174;Row57524;Row60071;Row61146;Row63243;Row67469;Row73667;Row74675;Row77829;Row80879;Row81594;Row82887;Row83658;Row88321;Row89843;Row91459;Row92230;Row92281;Row95914;Row96914;Row105449;Row105915;Row106020;Row108151;Row111013;Row116110;Row117054;Row117918;Row121846;Row122408;Row123151;Row123362;Row127588;Row16_dup;Row45_dup;Row69;Row85;Row86;Row90;Row97;Row113;Row119;Row124;Row140;Row147;Row154;Row157;Row170;Row204;Row213;Row229;Row263;Row278;Row313;Row315;Row324;Row329;Row333;Row338;Row344;Row346;Row393;Row413;Row439;Row449;Row456;Row458;Row463;Row468;Row470;Row476;Row483;Row506;Row543;Row568;Row575;Row582;Row584;Row588;Row593;Row597;Row611;Row612;Row614;Row621;Row637
Row10;0.407;0.346;0.269;0.385;0.423;0.370;0.038;0.346;0.231;0.444;0.000;0.333;0.481;0.464;0.357;0.308;0.269;0.308;0.615;0.370;0.111;0.148;0.346;0.111;0.111;0.346;0.259;0.192;0.462;0.231;0.308;0.385;0.423;0.407;0.111;0.481;0.393;0.423;0.286;0.308;0.185;0.259;0.370;0.231;0.615;0.654;0.192;0.577;0.308;0.538;0.385;0.333;0.259;0.357;0.259;0.370;0.429;0.154;0.370;0.357;0.393;0.444;0.393;0.185;0.185;0.214;0.370;0.444;0.393;0.370;0.333;0.462;0.185;0.321;0.296;0.111;0.231;0.370;0.444;0.385;0.444;0.654;0.192;0.154;0.286;0.185;0.357;0.370;0.577;0.143;0.148;0.393;0.185;0.214;0.444;0.393;0.407;0.407;0.519;0.370;0.185;0.286;0.222;0.222;0.407;0.333;0.111;0.731;0.231;0.037;0.296;0.269;0.308;0.429;0.308;0.154;0.444;0.654;0.154;0.250;0.462;0.462;0.481;0.444;0.444;0.111;0.346;0.154;0.308;0.370;0.423;0.185;0.615;0.444;0.115;0.231;0.259;0.346;0.462;0.462;0.370;0.222;0.407;0.231;0.308;0.250;0.385;0.731;0.185;0.346;0.321;0.259;0.259;0.148;0.185
Row11;0.200;0.500;0.190;0.333;0.300;0.318;0.370;0.105;0.375;0.409;0.333;0.000;0.381;0.200;0.440;0.458;0.100;0.053;0.840;0.150;0.240;0.208;0.105;0.240;0.240;0.105;0.333;0.333;0.680;0.143;0.238;0.250;0.211;0.364;0.308;0.300;0.273;0.211;0.136;0.053;0.320;0.400;0.318;0.143;0.474;0.526;0.261;0.500;0.238;0.450;0.158;0.273;0.519;0.227;0.333;0.238;0.318;0.217;0.238;0.227;0.273;0.409;0.273;0.320;0.250;0.280;0.318;0.409;0.273;0.318;0.190;0.429;0.385;0.333;0.143;0.240;0.440;0.318;0.409;0.600;0.409;0.727;0.400;0.360;0.360;0.174;0.227;0.238;0.571;0.269;0.280;0.273;0.250;0.346;0.409;0.273;0.500;0.364;0.500;0.318;0.250;0.136;0.360;0.423;0.364;0.273;0.308;0.632;0.556;0.357;0.227;0.348;0.238;0.318;0.391;0.423;0.542;0.600;0.481;0.320;0.350;0.680;0.455;0.250;0.478;0.370;0.286;0.423;0.391;0.238;0.522;0.250;0.550;0.158;0.320;0.375;0.182;0.435;0.680;0.500;0.318;0.360;0.500;0.143;0.150;0.320;0.333;0.700;0.385;0.364;0.095;0.333;0.400;0.346;0.385
Row12;0.476;0.545;0.300;0.368;0.571;0.167;0.462;0.316;0.478;0.063;0.481;0.381;0.000;0.222;0.409;0.429;0.381;0.350;0.864;0.350;0.462;0.440;0.400;0.462;0.462;0.316;0.500;0.364;0.682;0.333;0.263;0.524;0.333;0.316;0.400;0.500;0.211;0.333;0.318;0.350;0.417;0.286;0.167;0.333;0.529;0.588;0.364;0.632;0.263;0.650;0.368;0.211;0.435;0.250;0.286;0.263;0.350;0.391;0.263;0.250;0.211;0.278;0.211;0.417;0.417;0.375;0.167;0.278;0.211;0.167;0.300;0.389;0.348;0.286;0.333;0.462;0.478;0.167;0.176;0.652;0.368;0.737;0.500;0.520;0.318;0.417;0.250;0.263;0.556;0.423;0.440;0.211;0.348;0.375;0.278;0.211;0.316;0.118;0.294;0.167;0.417;0.318;0.318;0.458;0.118;0.211;0.462;0.625;0.654;0.444;0.250;0.455;0.263;0.350;0.263;0.458;0.450;0.588;0.458;0.417;0.474;0.682;0.333;0.176;0.591;0.400;0.316;0.458;0.429;0.263;0.571;0.417;0.529;0.368;0.417;0.478;0.286;0.545;0.682;0.550;0.167;0.458;0.316;0.333;0.429;0.348;0.450;0.706;0.348;0.400;0.286;0.286;0.435;0.375;0.348
Row13;0.381;0.522;0.286;0.350;0.476;0.250;0.444;0.211;0.391;0.263;0.464;0.200;0.222;0.000;0.318;0.478;0.286;0.250;0.875;0.158;0.385;0.360;0.300;0.385;0.385;0.211;0.417;0.348;0.708;0.318;0.250;0.429;0.316;0.455;0.385;0.316;0.200;0.316;0.227;0.250;0.333;0.348;0.250;0.318;0.412;0.556;0.417;0.526;0.250;0.550;0.263;0.200;0.480;0.150;0.348;0.250;0.250;0.375;0.250;0.150;0.200;0.350;0.200;0.333;0.400;0.292;0.250;0.350;0.200;0.250;0.200;0.450;0.333;0.273;0.238;0.385;0.458;0.250;0.350;0.625;0.350;0.700;0.538;0.500;0.227;0.333;0.150;0.250;0.600;0.346;0.423;0.200;0.333;0.292;0.350;0.200;0.455;0.300;0.450;0.250;0.333;0.227;0.304;0.440;0.211;0.200;0.385;0.588;0.630;0.429;0.318;0.435;0.250;0.250;0.409;0.440;0.500;0.632;0.500;0.333;0.368;0.652;0.400;0.059;0.429;0.385;0.300;0.500;0.409;0.250;0.545;0.333;0.500;0.167;0.462;0.391;0.273;0.522;0.708;0.450;0.250;0.440;0.455;0.318;0.333;0.261;0.429;0.667;0.333;0.300;0.190;0.273;0.417;0.360;0.333
Row14;0.577;0.238;0.440;0.364;0.654;0.417;0.333;0.458;0.462;0.435;0.357;0.440;0.409;0.318;0.000;0.348;0.500;0.480;0.750;0.417;0.269;0.240;0.520;0.269;0.269;0.458;0.292;0.217;0.455;0.462;0.417;0.615;0.542;0.458;0.269;0.542;0.375;0.542;0.385;0.480;0.208;0.217;0.417;0.462;0.500;0.739;0.423;0.708;0.417;0.720;0.500;0.375;0.217;0.333;0.360;0.417;0.273;0.444;0.417;0.333;0.375;0.364;0.375;0.208;0.280;0.167;0.417;0.364;0.375;0.417;0.375;0.455;0.208;0.360;0.400;0.269;0.182;0.417;0.435;0.364;0.364;0.619;0.292;0.320;0.091;0.346;0.333;0.417;0.591;0.231;0.308;0.375;0.407;0.167;0.364;0.375;0.391;0.458;0.455;0.417;0.208;0.385;0.174;0.174;0.391;0.375;0.269;0.650;0.519;0.321;0.462;0.304;0.417;0.273;0.417;0.320;0.364;0.682;0.385;0.346;0.455;0.381;0.409;0.364;0.200;0.269;0.458;0.385;0.417;0.480;0.478;0.208;0.696;0.435;0.407;0.462;0.423;0.520;0.455;0.583;0.417;0.320;0.318;0.462;0.538;0.130;0.560;0.714;0.346;0.458;0.360;0.360;0.292;0.370;0.208
Row15;0.542;0.158;0.391;0.522;0.625;0.500;0.280;0.409;0.348;0.455;0.308;0.458;0.429;0.478;0.348;0.000;0.458;0.435;0.727;0.500;0.280;0.250;0.478;0.280;0.280;0.409;0.440;0.227;0.400;0.417;0.435;0.583;0.350;0.542;0.280;0.625;0.520;0.429;0.462;0.435;0.292;0.143;0.500;0.417;0.526;0.650;0.304;0.739;0.435;0.696;0.455;0.458;0.375;0.480;0.304;0.500;0.560;0.400;0.500;0.480;0.520;0.583;0.520;0.292;0.217;0.250;0.500;0.583;0.520;0.500;0.458;0.609;0.292;0.440;0.417;0.280;0.348;0.500;0.522;0.522;0.583;0.650;0.304;0.333;0.261;0.360;0.480;0.500;0.739;0.308;0.250;0.520;0.423;0.320;0.583;0.520;0.542;0.478;0.609;0.500;0.217;0.462;0.182;0.333;0.478;0.458;0.280;0.611;0.417;0.333;0.480;0.391;0.435;0.560;0.364;0.182;0.583;0.773;0.182;0.423;0.609;0.476;0.565;0.455;0.381;0.280;0.478;0.182;0.435;0.435;0.625;0.217;0.526;0.381;0.292;0.348;0.440;0.478;0.400;0.545;0.500;0.182;0.478;0.417;0.500;0.217;0.522;0.684;0.360;0.409;0.440;0.375;0.143;0.385;0.292
Row16;0.200;0.500;0.100;0.250;0.211;0.238;0.308;0.105;0.304;0.333;0.269;0.100;0.381;0.286;0.500;0.458;0.000;0.053;0.792;0.150;0.240;0.280;0.105;0.240;0.240;0.105;0.333;0.333;0.625;0.050;0.150;0.158;0.211;0.286;0.240;0.300;0.273;0.211;0.136;0.053;0.320;0.400;0.238;0.050;0.474;0.526;0.182;0.421;0.150;0.368;0.158;0.190;0.462;0.227;0.261;0.238;0.318;0.136;0.238;0.227;0.273;0.333;0.273;0.320;0.320;0.346;0.238;0.333;0.273;0.238;0.190;0.350;0.320;0.333;0.143;0.240;0.375;0.238;0.333;0.542;0.333;0.667;0.333;0.292;0.423;0.174;0.227;0.238;0.500;0.269;0.280;0.273;0.174;0.346;0.333;0.273;0.435;0.286;0.429;0.238;0.320;0.136;0.360;0.360;0.286;0.190;0.370;0.632;0.500;0.296;0.143;0.273;0.150;0.318;0.318;0.423;0.478;0.526;0.423;0.320;0.263;0.625;0.381;0.250;0.542;0.308;0.200;0.423;0.318;0.150;0.455;0.320;0.474;0.250;0.320;0.304;0.095;0.364;0.625;0.429;0.238;0.423;0.435;0.050;0.053;0.385;0.250;0.632;0.320;0.286;0.182;0.261;0.400;0.280;0.320
Row17;0.250;0.478;0.150;0.300;0.263;0.286;0.346;0.056;0.348;0.381;0.308;0.053;0.350;0.250;0.480;0.435;0.053;0.000;0.833;0.200;0.280;0.250;0.056;0.280;0.280;0.056;0.375;0.304;0.667;0.100;0.200;0.211;0.167;0.333;0.280;0.350;0.318;0.167;0.182;0.000;0.360;0.375;0.286;0.100;0.444;0.500;0.227;0.474;0.200;0.421;0.111;0.238;0.500;0.273;0.304;0.286;0.364;0.182;0.286;0.273;0.318;0.381;0.318;0.360;0.292;0.320;0.286;0.381;0.318;0.286;0.238;0.400;0.360;0.375;0.190;0.280;0.417;0.286;0.381;0.583;0.381;0.714;0.375;0.333;0.400;0.217;0.273;0.286;0.550;0.308;0.320;0.318;0.217;0.385;0.381;0.318;0.478;0.333;0.476;0.286;0.292;0.182;0.333;0.400;0.333;0.238;0.346;0.611;0.538;0.333;0.190;0.318;0.200;0.364;0.364;0.400;0.522;0.579;0.462;0.360;0.316;0.667;0.429;0.211;0.522;0.346;0.250;0.400;0.364;0.200;0.500;0.292;0.526;0.211;0.292;0.348;0.143;0.409;0.667;0.476;0.286;0.400;0.478;0.100;0.105;0.360;0.300;0.684;0.360;0.333;0.143;0.304;0.440;0.320;0.360
Row18;0.773;0.714;0.739;0.762;0.750;0.833;0.600;0.826;0.571;0.818;0.615;0.840;0.864;0.875;0.750;0.727;0.792;0.833;0.000;0.833;0.704;0.741;0.826;0.704;0.704;0.826;0.652;0.760;0.500;0.750;0.783;0.762;0.864;0.773;0.704;0.810;0.840;0.810;0.769;0.833;0.731;0.708;0.833;0.750;0.947;0.882;0.708;0.765;0.783;0.706;0.818;0.792;0.652;0.800;0.708;0.833;0.783;0.667;0.833;0.800;0.840;0.818;0.840;0.731;0.731;0.741;0.833;0.818;0.840;0.833;0.792;0.800;0.731;0.708;0.750;0.704;0.696;0.833;0.818;0.632;0.762;0.733;0.652;0.667;0.769;0.731;0.800;0.833;0.765;0.714;0.692;0.840;0.680;0.741;0.818;0.840;0.714;0.826;0.800;0.833;0.731;0.769;0.720;0.667;0.826;0.792;0.654;0.938;0.500;0.630;0.800;0.682;0.783;0.783;0.783;0.609;0.762;0.882;0.545;0.680;0.800;0.588;0.750;0.870;0.762;0.654;0.773;0.609;0.727;0.783;0.611;0.731;0.889;0.818;0.625;0.571;0.760;0.650;0.500;0.667;0.833;0.667;0.773;0.750;0.783;0.731;0.700;0.867;0.565;0.714;0.808;0.652;0.652;0.583;0.731
Row19;0.250;0.542;0.150;0.211;0.350;0.200;0.346;0.158;0.348;0.300;0.370;0.150;0.350;0.158;0.417;0.500;0.150;0.200;0.833;0.000;0.280;0.320;0.250;0.280;0.280;0.158;0.304;0.304;0.667;0.190;0.105;0.300;0.263;0.409;0.346;0.167;0.150;0.263;0.182;0.200;0.217;0.440;0.200;0.190;0.444;0.500;0.304;0.389;0.105;0.421;0.211;0.150;0.440;0.100;0.375;0.105;0.200;0.261;0.105;0.100;0.150;0.300;0.150;0.217;0.360;0.385;0.200;0.300;0.150;0.200;0.053;0.316;0.292;0.227;0.100;0.280;0.348;0.200;0.300;0.522;0.300;0.650;0.440;0.400;0.333;0.217;0.100;0.105;0.474;0.308;0.320;0.150;0.292;0.250;0.300;0.150;0.409;0.250;0.400;0.200;0.292;0.182;0.400;0.400;0.250;0.150;0.346;0.611;0.593;0.393;0.273;0.318;0.105;0.200;0.286;0.462;0.455;0.500;0.462;0.292;0.222;0.609;0.350;0.211;0.455;0.407;0.158;0.519;0.286;0.286;0.429;0.292;0.444;0.211;0.423;0.348;0.227;0.409;0.667;0.400;0.200;0.462;0.409;0.190;0.200;0.360;0.300;0.611;0.360;0.250;0.227;0.304;0.375;0.320;0.292
